City_ID,City,Lat,Lng,Max Temp,Humidity,Current Description,Cloudiness,Wind Speed,Country,Date
245,Esperance,-33.8667,121.9,84.2,23,scattered clouds,40,18.41,AU,2021-03-30 00:16:06
246,Peiting,47.8,10.9333,45.0,60,scattered clouds,37,3.44,DE,2021-03-30 00:21:57
247,Maltahohe,-24.8333,16.9833,69.66,47,broken clouds,55,5.46,NA,2021-03-30 00:21:57
248,Naze,28.3667,129.4833,71.6,94,broken clouds,75,9.22,JP,2021-03-30 00:19:24
249,Oum Hadjer,13.2954,19.6966,72.23,9,clear sky,0,12.46,TD,2021-03-30 00:21:57
250,Ahipara,-35.1667,173.1667,70.99,86,scattered clouds,34,10.6,NZ,2021-03-30 00:14:43
251,Mirnyy,62.5353,113.9611,19.06,94,light snow,99,3.62,RU,2021-03-30 00:21:58
252,Tucuman,-26.8241,-65.2226,71.6,73,clear sky,0,2.93,AR,2021-03-30 00:20:35
253,The Valley,18.217,-63.0578,78.8,78,scattered clouds,40,14.97,AI,2021-03-30 00:14:39
254,Yerbogachen,61.2767,108.0108,20.88,96,overcast clouds,99,0.56,RU,2021-03-30 00:18:24
255,Asyut,27.181,31.1837,53.6,66,clear sky,0,14.97,EG,2021-03-30 00:21:59
256,Chapada Dos Guimaraes,-15.4606,-55.7497,84.2,65,scattered clouds,40,5.75,BR,2021-03-30 00:21:59
257,Theunissen,-28.411,26.7011,55.62,83,scattered clouds,29,6.15,ZA,2021-03-30 00:22:00
258,Inhambane,-23.865,35.3833,68.47,70,clear sky,0,4.52,MZ,2021-03-30 00:15:24
259,Geraldton,-28.7667,114.6,75.2,69,broken clouds,75,9.22,AU,2021-03-30 00:17:56
